Model ID,Task,Category,Downloads,Last Modified,Repository URL,Author,Tags,Pipeline Tag,Library,Private,Gated,Description,Likes,Size,Created At
openai-community/gpt2,text-generation,NLP,14521723,,https://huggingface.co/openai-community/gpt2,,"transformers, pytorch, tf, jax, tflite, rust, onnx, safetensors, gpt2, text-generation, exbert, en, doi:10.57967/hf/0039, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",text-generation,transformers,False,,A text-generation model: gpt2,2839,,
Qwen/Qwen2-7B-Instruct,text-generation,NLP,13640603,,https://huggingface.co/Qwen/Qwen2-7B-Instruct,,"transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071, base_model:Qwen/Qwen2-7B, base_model:finetune:Qwen/Qwen2-7B, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",text-generation,transformers,False,,A text-generation model: Qwen2-7B-Instruct,649,,
cross-encoder/ms-marco-MiniLM-L6-v2,text-classification,NLP,4849780,,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2,,"sentence-transformers, pytorch, jax, onnx, safetensors, openvino, bert, text-classification, transformers, text-ranking, en, dataset:sentence-transformers/msmarco, base_model:cross-encoder/ms-marco-MiniLM-L12-v2, base_model:quantized:cross-encoder/ms-marco-MiniLM-L12-v2, license:apache-2.0, region:us",text-ranking,sentence-transformers,False,,A text-classification model: ms-marco-MiniLM-L6-v2,125,,
cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification,NLP,4231227,,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest,,"transformers, pytorch, tf, roberta, text-classification, en, dataset:tweet_eval, arxiv:2202.03829, autotrain_compatible, endpoints_compatible, region:us",text-classification,transformers,False,,A text-classification model: twitter-roberta-base-sentiment-latest,691,,
BAAI/bge-reranker-v2-m3,text-classification,NLP,2533467,,https://huggingface.co/BAAI/bge-reranker-v2-m3,,"sentence-transformers, safetensors, xlm-roberta, text-classification, transformers, text-embeddings-inference, multilingual, arxiv:2312.15503, arxiv:2402.03216, license:apache-2.0, region:us",text-classification,sentence-transformers,False,,A text-classification model: bge-reranker-v2-m3,708,,
deepset/roberta-base-squad2,question-answering,NLP,1583084,,https://huggingface.co/deepset/roberta-base-squad2,,"transformers, pytorch, tf, jax, rust, safetensors, roberta, question-answering, en, dataset:squad_v2, base_model:FacebookAI/roberta-base, base_model:finetune:FacebookAI/roberta-base, license:cc-by-4.0, model-index, endpoints_compatible, region:us",question-answering,transformers,False,,A question-answering model: roberta-base-squad2,890,,
monologg/koelectra-small-v2-distilled-korquad-384,question-answering,NLP,241661,,https://huggingface.co/monologg/koelectra-small-v2-distilled-korquad-384,,"transformers, pytorch, tflite, safetensors, electra, question-answering, endpoints_compatible, region:us",question-answering,transformers,False,,A question-answering model: koelectra-small-v2-distilled-korquad-384,5,,
